SecurityCode,companyName,marketCapFull
530035,SANTOSH FINE-FAB LTD.,13.72
543207,Natural Biocon (India) Ltd,13.76
512036,KAPIL COTEX LTD.,13.77
526604,LIPPI SYSTEMS LTD.-$,13.79
524458,INDO EURO INDCHEM LTD.,13.83
507833,COMPUTER POINT LTD.,13.86
517397,PAN ELECTRONICS INDIA LTD.,13.92
543310,Times Green Energy (India) Ltd,13.93
514336,Genesis Ibrc India Ltd,13.98
521054,KAKATIYA TEXTILES LTD.,14.08
526473,ELEGANT FLORICULTURE & AGROTECH (INDIA) LTD.,14.1
531673,ANKA INDIA LTD.,14.11
538708,Econo Trade (India) Ltd,14.21
530127,NPR FINANCE LTD.,14.3
531257,PRATIKSHA CHEMICALS LTD.,14.32
530271,RICH UNIVERSE NETWORK LTD.,14.34
511377,MEHTA INTEGRATED FINANCE LTD.,14.35
538860,Panafic Industrials Ltd,14.37
524434,ASIAN PETROPRODUCTS & EXPORTS LTD.,14.38
513307,SYNTHIKO FOILS LTD.,14.44
539679,Kapil Raj Finance Ltd,14.47
521161,SRI LAKSHMI SARASWATHI TEXTILES (ARNI) LTD.-$,14.48
524768,EMMESSAR BIOTECH & NUTRITION LTD.,14.48
531471,DUKE OFFSHORE LTD.,14.5
519612,MAHAAN FOODS LTD.,14.51
531822,Rodium Realty Limited,14.52
521234,SRI NACHAMMAI COTTON MILLS LTD.-$,14.59
526662,RAJDARSHAN INDUSTRIES LTD.,14.61
538918,Vani Commercials Ltd,14.62
538935,Abhishek Finlease Ltd,14.63
531553,Disha Resources Ltd,14.64
531893,SAWACA BUSINESS MACHINES LTD.,14.64
540266,Globe Commercials Ltd,14.64
526628,AJWA FUN WORLD & RESORT LTD.,14.69
514454,SOUTHERN LATEX LTD.,14.72
543341,Sharpline Broadcast Ltd,14.78
539661,Ace Men Engg Works Ltd,14.95
540026,Ladam Affordable Housing Ltd,15.01
512624,Regent Enterprises Ltd,15.02
531328,Kretto Syscon Ltd,15.05
540681,Chothani Foods Ltd,15.06
539762,Modern Engineering And Projects Ltd,15.21
539120,Bangalore Fort Farms Ltd,15.24
538465,Amarnath Securities Ltd,15.28
509015,THAKRAL SERVICES (INDIA) LTD.,15.29
539149,Integrated Capital Services Ltd,15.3
531644,TOKYO FINANCE LTD.,15.31
530457,CINERAD COMMUNICATIONS LTD.,15.31
533149,Yunik Managing Advisors Ltd,15.32
543541,Sailani Tours N Travels Ltd,15.33
512047,Royal India Corporation Limited,15.37
531936,BLUE CHIP INDIA LTD.,15.37
532744,GTN TEXTILES LTD.,15.37
542801,Misquita Engineering Ltd,15.38
526827,SPICE ISLANDS APPARELS LTD.-$,15.43
543598,Shantidoot Infra Services Ltd,15.51
526532,Square Four Projects India Limited,15.56
508956,HB LEASING & FINANCE CO.LTD.,15.57
