,scripCode,companyName,currentValue,change,pChange,updatedOn,securityID,group,faceValue,industry,previousClose,previousOpen,dayHigh,dayLow,52weekHigh,52weekLow,weightedAvgPrice,totalTradedValue,totalTradedQuantity,2WeekAvgQuantity,marketCapFull,marketCapFreeFloat
10,500510,LARSEN & TOUBRO LTD.,3353.50,13.55,0.41,20 Feb 24 | 04:00 PM,LT,A  / S&P BSE SENSEX,2.00,Construction,3339.95,3349.90,3365.85,3329.00,3738.90,2083.05,3347.62,18.80 Cr.,0.56 Lakh,0.87 Lakh,"4,60,982.06 Cr.","3,91,834.75 Cr."
11,532281,HCL TECHNOLOGIES LTD.,1662.85,-12.10,-0.72,20 Feb 24 | 04:00 PM,HCLTECH,A  / S&P BSE SENSEX,2.00,Information Technology,1674.95,1671.00,1672.85,1645.15,1696.00,1016.45,1655.62,3.43 Cr.,0.21 Lakh,0.63 Lakh,"4,51,241.80 Cr.","1,75,984.30 Cr."
12,500034,Bajaj Finance Limited,6768.65,54.05,0.80,20 Feb 24 | 04:00 PM,BAJFINANCE,A  / S&P BSE SENSEX,2.00,Financial Services,6714.60,6724.90,6791.00,6681.00,8190.00,5487.25,6758.01,47.31 Cr.,0.70 Lakh,0.68 Lakh,"4,18,318.19 Cr.","1,88,243.19 Cr."
13,512599,ADANI ENTERPRISES LTD.,3228.65,-29.55,-0.91,20 Feb 24 | 04:00 PM,ADANIENT,A  / S&P BSE 100,1.00,Metals & Mining,3258.20,3263.05,3268.40,3211.30,3308.85,1103.00,3248.65,32.69 Cr.,1.01 Lakh,1.13 Lakh,"3,68,066.46 Cr.","88,335.95 Cr."
14,524715,SUN PHARMACEUTICAL INDUSTRIES LTD.,1538.70,8.85,0.58,20 Feb 24 | 04:00 PM,SUNPHARMA,A  / S&P BSE SENSEX,1.00,Healthcare,1529.85,1530.20,1541.15,1513.00,1554.85,922.55,1523.39,19.50 Cr.,1.28 Lakh,0.80 Lakh,"3,69,177.02 Cr.","1,66,129.66 Cr."
15,532500,MARUTI SUZUKI INDIA LTD.,11446.05,-37.70,-0.33,20 Feb 24 | 04:00 PM,MARUTI,A  / S&P BSE SENSEX,5.00,Automobile and Auto Components,11483.75,11479.90,11480.00,11316.65,11604.25,8127.05,11408.71,8.74 Cr.,0.08 Lakh,0.11 Lakh,"3,59,866.76 Cr.","1,51,144.04 Cr."
16,500312,Oil and Natural Gas Corporation Ltd,276.65,1.95,0.71,20 Feb 24 | 04:00 PM,ONGC,A  / S&P BSE 100,5.00,"Oil, Gas & Consumable Fuels",274.70,275.85,281.05,274.10,281.05,146.70,277.00,34.15 Cr.,12.33 Lakh,12.27 Lakh,"3,48,033.42 Cr.","1,07,890.36 Cr."
17,500247,KOTAK MAHINDRA BANK LTD.,1763.10,31.60,1.83,20 Feb 24 | 04:00 PM,KOTAKBANK,A  / S&P BSE SENSEX,5.00,Financial Services,1731.50,1739.95,1769.35,1738.60,2063.00,1644.20,1756.13,21.07 Cr.,1.20 Lakh,1.15 Lakh,"3,50,485.76 Cr.","2,59,359.46 Cr."
18,532555,NTPC LTD.,345.65,6.80,2.01,20 Feb 24 | 04:00 PM,NTPC,A  / S&P BSE SENSEX,10.00,Power,338.85,341.45,346.10,337.75,346.10,166.65,343.34,24.96 Cr.,7.27 Lakh,6.98 Lakh,"3,35,165.26 Cr.","1,64,230.98 Cr."
19,532215,AXIS BANK LTD.,1088.30,24.70,2.32,20 Feb 24 | 04:00 PM,AXISBANK,A  / S&P BSE SENSEX,2.00,Financial Services,1063.60,1055.60,1090.00,1055.60,1151.50,814.25,1079.62,20.27 Cr.,1.88 Lakh,3.85 Lakh,"3,35,765.22 Cr.","3,05,546.35 Cr."
20,500114,Titan Company Limited,3682.40,-10.90,-0.30,20 Feb 24 | 04:00 PM,TITAN,A  / S&P BSE SENSEX,1.00,Consumer Durables,3693.30,3709.90,3719.70,3668.35,3885.00,2320.00,3692.91,4.78 Cr.,0.13 Lakh,0.25 Lakh,"3,26,918.38 Cr.","1,53,651.64 Cr."
21,500570,TATA MOTORS LTD.,926.40,-6.15,-0.66,20 Feb 24 | 04:00 PM,TATAMOTORS,A  / S&P BSE SENSEX,2.00,Automobile and Auto Components,932.55,935.70,935.70,921.00,949.60,400.40,926.64,17.58 Cr.,1.90 Lakh,4.45 Lakh,"3,07,866.03 Cr.","1,63,169.00 Cr."
22,541450,Adani Green Energy Ltd,1927.90,-25.70,-1.32,20 Feb 24 | 04:00 PM,ADANIGREEN,A  / S&P BSE 200,10.00,Power,1953.60,1960.35,1965.15,1921.55,1991.60,439.35,1936.69,12.48 Cr.,0.64 Lakh,2.68 Lakh,"3,05,385.62 Cr.","70,238.69 Cr."
