SecurityCode,companyName
500444,WEST COAST PAPER MILLS LTD.
532772,DCB Bank Limited
540205,Aditya Vision Ltd
543984,Samhi Hotels Ltd
543332,Epigral Ltd
590086,ORISSA MINERALS DEVELOPMENT COMPANY LTD.
523323,KOVAI MEDICAL CENTER & HOSPITAL LTD.
543213,Rossari Biotech Ltd
500243,Kirloskar Industries Ltd
543950,Yatharth Hospital & Trauma Care Services Ltd
541301,Orient Electric Ltd
543349,Ami Organics Ltd
517168,SUBROS LTD.
513262,STEEL STRIPS WHEELS LTD.-$
500219,JAIN IRRIGATION SYSTEMS LTD.
544055,Muthoot Microfin Ltd
507878,UNITECH LTD.
