SecurityCode,companyName,Feb16
532163,SAREGAMA INDIA LTD.,7949.54
532300,WOCKHARDT LTD.,7947.62
541578,Varroc Engineering Ltd,7923.5
543596,Tamilnad Mercantile Bank Ltd,7864.52
507880,V.I.P.INDUSTRIES LTD.-$,7842.32
500038,BALRAMPUR CHINI MILLS LTD.,7827.99
543259,Home First Finance Company India Ltd,7824.94
532942,KNR CONSTRUCTIONS LTD.,7749.42
541195,Mishra Dhatu Nigam Ltd,7744.64
532156,Vaibhav Global Ltd,7725.67
532531,Strides Pharma Science Ltd,7680.98
543271,Jubilant Ingrevia Ltd,7667
532356,TRIVENI ENGINEERING & INDUSTRIES LTD.,7593.57
502219,Borosil Renewables Ltd,7573.51
532757,VOLTAMP TRANSFORMERS LTD.,7504.37
543523,Campus Activewear Ltd,7494.03
530005,INDIA CEMENTS LTD.,7476.27
535648,JUST DIAL LTD.,7465.04
500033,FORCE MOTORS LTD.-$,7455.08
500241,KIRLOSKAR BROTHERS LTD.-$,7427.12
530999,BALAJI AMINES LTD.-$,7417.72
532749,ALLCARGO LOGISTICS LTD.,7371.85
504918,SANDUR MANGANESE & IRON ORES LTD.,7370.97
543277,Laxmi Organic Industries Ltd,7359.71
500339,Rain Industries Ltd,7332.34
524404,MARKSANS PHARMA LTD.,7318.59
532900,Paisalo Digital Ltd,7294.36
532922,Edelweiss Financial Services Ltd.,7268.99
533326,TEXMACO RAIL & ENGINEERING LTD.,7258.51
544061,Azad Engineering Ltd,7242.23
540047,Dilip Buildcon Ltd,7238.37
538730,PDS Ltd,7235.41
500214,ION EXCHANGE (INDIA) LTD.-$,7232.13
538891,Magellanic Cloud Ltd,7220.79
543258,Indigo Paints Ltd,7199.58
531599,FDC LTD.,7177.48
520113,VESUVIUS INDIA LTD.,7167.87
509557,Garware Technical Fibres Ltd,7149.25
543336,Chemplast Sanmar Ltd,7126
542759,Spandana Sphoorty Financial Ltd,7087.47
531543,JINDAL WORLDWIDE LTD.,7086.39
532811,AHLUWALIA CONTRACTS (INDIA) LTD.,7083.6
532218,SOUTH INDIAN BANK LTD.,7039.98
543952,NIIT Learning Systems Ltd,6999.38
538979,Greenlam Industries Ltd,6978.93
532642,JSW Holdings Limited,6939.54
500336,SURYA ROSHNI LTD.,6926.26
512573,AVANTI FEEDS LTD.-$,6885.85
542597,MSTC Ltd,6812.96
530343,GENUS POWER INFRASTRUCTURES LTD.-$,6806.56
